Disease Name,Symptoms,Diagnosis,Treatments
"Haemophilus Influenzae","Pain.
Loss of appetite.
Irritability.
Poor sleep.
Fever.
Drainage.
Difficulty hearing.","Your healthcare provider will usually diagnose an H. influenzae infection with one or more laboratory tests. They’ll take a sample of your blood, spinal fluid, joint fluid, pleural fluid or middle ear aspirate. The first test they’ll use is called Gram staining. The Gram stain looks for bacteria in the sample and determines the type of bacteria causing a condition. Your healthcare provider may follow up with a blood or body fluid culture to confirm the presence of the bacteria.","Breathing support through face mask oxygen or intubation.
Intravenous steroids.
Medication to treat low blood pressure.
Wound care for damaged skin.
Surgical drainage for septic arthritis."
"Chancroid (Soft Chancre)","Raised and painful bumps on the skin of your genitals.
Ulcers with ragged soft edges that develop from these bumps.
Reddened and shiny skin on the sores.
Leakage of pus and infectious fluid.
Spreading and connecting of these sores into larger areas.","You have one or more genital sores (ulcers) that are causing pain.
You have swollen and painful lymph nodes in your groin.
You test negative for infection with the herpes simplex virus and Treponema pallidum.","Azithromycin, 1 gram taken orally. This is a one-time dose.
Ceftriaxone, 250 milligrams (mg) taken as an intramuscular shot. This is a one-time dose.
Ciprofloxacin, 500 mg taken orally two times per day for three days. You shouldn’t take this if you’re pregnant or breastfeeding.
Erythromycin, 500 mg taken orally three times per day for seven days."
"Histoplasmosis","Fever.
Cough.
Sweating.
Shortness of breath (dyspnea).
Chest pain.
Headache.
Muscle aches.
Rash or bumps on your lower legs (erythema nodosum).","Try to grow (culture) H. capsulatum. This is the best way to diagnose histoplasmosis. But this can take a long time — several weeks — and in severe cases, your provider will want to treat you before results are available.
Look for H. capsulatum yeast.
Test for signs of H. capsulatum in your body (antigens or antibodies).","Itraconazole.
Amphotericin B (AmB).
Corticosteroids."
"Pyloric Stenosis (HPS)","Frequent projectile vomiting (forceful vomiting), usually within a half hour to one hour after eating.
Abdominal (belly) pain.
Dehydration.
Hunger after feedings.
Irritability.
Small poops (stools).
Wavelike stomach motion right after eating, just before vomiting starts. Occasionally, you can feel a mass like a sausage in your baby’s stomach.
Weight loss.","Your baby’s healthcare provider will ask you about your baby’s eating habits and perform a physical exam. Sometimes, providers can feel an olive-sized lump in your baby’s belly (abdomen). That’s the thickened pyloric muscle.","Your baby will start drinking formula or breast milk a few hours after surgery. They’ll have small amounts at first. Your baby’s surgeon will discuss their feeding plan with you.
If you use formula, your baby’s team will slowly increase the volume and concentration of the formula as your baby can tolerate it.
If you breastfeed (chestfeed), your baby will have breast milk from a bottle for the first few feedings. It’s important to accurately measure the amount."
"Hurler Syndrome","Heart valve problems (cardiomyopathy).
Hearing loss.
Buildup of cerebrospinal fluid around your child's brain (hydrocephalus).
Enlarged organs like connective tissues, tonsils, muscles, heart, liver and spleen.
Vision problems (glaucoma).
Joint problems (tight muscles, carpal tunnel and joint disease).
Respiratory infections, sleep apnea and difficulty breathing.
Hernias.","Prenatal screening tests, like amniocentesis or chorionic villus sampling, can diagnose your child with Hurler syndrome while you’re pregnant. Both tests examine whether or not there are any genetic abnormalities within your baby’s DNA.","Enzyme replacement therapy (ERT): Replacing damaged enzymes can prevent symptoms from getting worse and has the potential to reverse complications. Your child's healthcare provider will schedule regular shots of alpha L-iduronidase (aldurazyme) early after a diagnosis. The frequency of the shots depend on the severity of your child's diagnosis and is a lifelong treatment option.
Hematopoietic stem cell transplant (HSCT): For children under two years old (and some over two years old, by the supervision of their provider) diagnosed with Hurler’s syndrome, HSCT can prolong life expectancy in severe cases, prevent disease progression, preserve cognitive function and reduce symptoms that affect their body (somatic). Stem cells from donors with functioning enzymes that are found in bone marrow (hematopoietic cells) replace damaged cells in a child via chemotherapy."
"Treacher Collins Syndrome","Their airways might be partially blocked, making it hard to breathe.
Their eyelids have a noticeable downward slant sometimes called “sad eyes.” It may look as if they’ve been crying.
They have a cleft palate, a condition where infants are born with an opening in the roof of their mouths. Cleft palates can make it difficult for babies to nurse or drink from bottles.
Their cheekbones appear flattened and are smaller than typical newborns.
Their lower jaws are smaller than most newborns.
Their ears might be smaller than most newborns or be shaped differently.
They might have hearing loss detected during routine newborn hearing tests. An additional examination might reveal problems with the three small bones that are your child’s middle ear. These bones transmit sound.","Healthcare providers might make a preliminary diagnosis based on regular newborn examinations. If your child’s symptoms indicate Treacher Collins syndrome, your healthcare provider might refer you to a genetics specialist to confirm the preliminary diagnosis.","Nose: Extra tissue or bone is blocking the back of your child’s nose, making it hard for them to breathe through their nose. Treatment includes surgery to remove the extra bone or tissue
Lower jaw: Your child’s lower jaw is set at a steep angle. This is called micrognathia. About half of children with this condition have sleep apnea. It can also affect your child’s ability to eat. If your child’s breathing issues are mild, changing sleep positions can help, such as having your child sleep on their side. Your child’s healthcare provider might recommend your child use a temporary tube, called a nose trumpet or a continuous positive airway pressure device (CPAP). More severe breathing problems might require surgery such as endotracheal tubes or tracheotomy. Your child’s healthcare provider may also recommend jaw-lengthening surgery.
Cleft palate: Surgery to close the gap in the roof of your child’s mouth.
Facial differences: These surgeries are called craniofacial reconstructions. They’re usually done during your child’s teenage years and as needed to help your child’s breathing and other physical symptoms. Not every child wants or needs facial reconstruction.
Eyes: The syndrome can affect the tissue and bones around your child’s eyes so your child’s eyes slant down. It can also create a notch in your child’s lower eyelid. Treatment may include surgery to fix the notch in your child’s lower eyelid.
Cheekbones: The syndrome can cause your child’s cheekbones to be smaller than usual, or to be missing. Treatment for this may include bone grafts or synthetic implants to rebuild cheekbones.
Jaws: Your child’s lower jaw and/or upper jaw might be set back at a steep angle, which affects their ability to eat and breathe. Treatment for this may include corrective surgery to fix your child’s upper and lower jaws to correct their bite and help with breathing and chewing.
External ears: Your child’s external ear might be missing, be smaller than normal or be oddly shaped. Treatment for this may include surgeries to rebuild or build your child’s external ears using tissue and bone grafts or artificial materials.
Hearing: The syndrome can affect hearing in two ways. Your child might not develop ear canals, having an eardrum or the small bones that make up their middle ear. Or your child might have hearing structures that are oddly shaped, which means sound can’t get through them. Treatment for hearing-related issues may include surgery to build the missing hearing structures, bone-anchored implants to support hearing, speech therapy and educational support."
"Erythromelalgia","Itching.
Skin that’s cold to the touch between flares.
Sweating in an area more than you usually would.
Swelling.
Tender, blotchy skin.
Tingling sensation.","There’s no specific test for diagnosing erythromelalgia. Your healthcare provider reviews your symptoms and examines any active flare-ups or photos of flare-ups. Multiple tests may be necessary to confirm your symptoms and rule out other medical issues. These include:","Anticonvulsants, such as gabapentin or carbamazepine.
Antidepressants, like amitriptyline or venlafaxine.
Antihistamines, such as cetirizine or diphenhydramine.
Aspirin (for adults only).
Blood pressure medicines to increase or decrease blood flow.
Prescription painkillers."
"Pteridophobia (Fear of Ferns)","Pteridophobia, like other phobic disorders, can have a variety of triggers. This fear may be related to:","Avoidant personality disorder.
Illness anxiety disorder (hypochondriasis).
Obsessive-compulsive disorder.
Panic disorder.
Paranoid personality disorder.","Cognitive behavioral therapy (CBT): CBT focuses on helping you change the way you think about ferns. Your therapist may provide facts about ferns, such as which types are poisonous and where they’re found. You also learn to identify what triggers your anxiety. For example, perhaps you’re only scared of indoor ferns or ferns that are near water.
Exposure therapy: CBT and exposure therapy often go hand in hand. You gradually expose yourself to fear triggers so you can learn how to manage your anxiety. You may look at pictures of ferns or take a walk through a park that contains ferns. Your therapist can give you strategies for keeping panic at bay, such as deep breathing or meditation.
Medication: Your healthcare provider may recommend anti-anxiety drugs, sedatives or beta-blockers if you have frequent panic attacks about ferns. Medication doesn’t treat the source of your fear, but it may help."
"Trimethylaminuria (TMAU, Fish Odor Syndrome)","Avoiding people because they’re embarrassed about their condition. Being socially isolated can lead to depression, frustration and loneliness.
Having a hard time developing or maintaining relationships.
Rarely, showing signs of paranoia and suicidal tendencies.","Healthcare providers diagnose TMAU by measuring the amount of trimethylamine in your urine (pee).","Milk from wheat-fed cows.
Eggs.
Liver.
Peas.
Beans.
Peanuts.
Soya products.
Brussels sprouts.
Broccoli.
Cabbage.
Cauliflower.
Seafood. (You can eat fresh-water fish.)
Fish oil supplements."
"Pouchitis","Altered bowel habits: Inflammation in your pouch may make it hard to hold your poop, while swelling may make it hard to release it. This can affect your long-term bowel habits.
Reduced quality of life: Persistent difficulties going to the bathroom are hard to live with. They can cause physical and emotional stress and prevent you from enjoying a healthy social life.
Pouch stricture: Chronic inflammation can lead to scarring in your pouch. Scarring can cause the opening to narrow. It can also reduce blood flow to your pouch, which interferes with healing.
Erosion: Prolonged inflammation can cause erosion of the lining in your pouch, leading to ulcers, which may bleed. Some pathogenic bacteria may also actively erode your gut barrier.
Malabsorption and malnutrition: Damage to the lining in your pouch can interfere with its ability to absorb nutrients from the food inside (malabsorption), leading to malnutrition.
Pouch failure: Persistent difficulties with your pouch ultimately may make it unusable. You may have to have another operation to remove the pouch and redirect your bowel to an ileostomy.","Contrast pouchography (pouchogram). This is a type of X-ray that involves injecting a contrast solution into your pouch to make it stand out. It’s the ileal pouch version of a barium enema.
CT scan.
MRI.","Mesalamine enemas: Mesalamine, also known as 5-aminosalicylic acid (5-ASA), is a first-line medication for ulcerative colitis. It comes as an enema that you can insert into your pouch.
Bismuth enemas: Bismuth subsalicylate, the active ingredient in Pepto Bismol®, also comes as a foam enema (bismuth carbomer) that may help relieve your symptoms.
Corticosteroids: Corticosteroids are anti-inflammatory drugs to treat chronic inflammation.
Immunosuppressants: These drugs turn down the volume on your immune system response. Healthcare providers prescribe them when your immune system causes chronic inflammation.
Monoclonal antibodies (biologics): Monoclonal antibodies are human-made proteins that act like human antibodies, boosting your natural immune response to infections.
Small molecules: These are newer medications that work similarly to monoclonal antibodies but are synthetic.
Fecal microbiota transplant: Fecal transplant is U.S. Food and Drug (FDA)-approved to help treat antibiotic-resistant C. diff infection. But even when C. diff isn’t involved, fecal transplant may be helpful in treating antibiotic-resistant pouchitis as an off-label use. It helps to restore a healthy gut microbiome."
"Van der Woude Syndrome","Cleft lip, cleft palate or both conditions.
Lip pits (depressions) or mounds (raised bumps) on one or both sides of the lower lip.
Moist- or wet-looking lower lip due to salivary or mucus glands that connect to the lip pits.
Missing teeth (hypodontia) or missing teeth enamel (dental hypoplasia).","Chorionic villus sampling (CVS).
Genetic amniocentesis.","Children with a cleft lip or palate need surgery to close the gaps. Cleft lip surgery typically takes place when a baby is between 2 and 6 months old. Cleft palate repair takes place later when a child is between 9 and 18 months old."
"Congenital Hand Differences","Developmental delays.
Trouble with basic self-care and daily living activities.
Limitations on certain sports and other activities.
Emotional and social issues.","Congenital hand differences are generally noticed at birth. However, your child’s healthcare provider may want to take X-rays. The X-rays can help determine the extent of the bone and tissue involvement. Your child’s provider will be able to tell if your child’s hand difference is simple or complex.","Stretching.
Splinting or casting.
Physical therapy (to help increase strength and function).
Prosthetics (in the case of missing parts or bones).
Surgery."
"Sarcomatoid Carcinoma","Cough.
Shortness of breath (dyspnea).
Chest pain.
Bloody phlegm.
Unexplained weight loss.","Imaging: Your provider may perform a computed tomography (CT) scan to see where the tumors are located. They may conduct a CT/Pet scan or F-fluorodeoxyglucose (FDG)-PET for more detailed views of the inside of your body. A CT/Pet scan allows your provider to perform two imaging procedures (a CT scan and a PET scan) at the same time. Fluorodeoxyglucose is a chemical inserted into your body during a PET scan. It clusters around cancer cells, so they show up more clearly during imaging.
Histopathology: Your provider will remove a tumor sample during a biopsy and study the tissue closely beneath a microscope. This type of analysis is called histopathology. Your provider can determine if a tumor is sarcomatoid carcinoma based on how its cells look. They’ll also classify it into subtypes (for example, pleomorphic carcinoma, spindle-cell carcinoma, etc.)
Immunohistochemistry: Immunohistochemistry tests for substances, called antigens, associated with specific cell types. Certain types of antigens can signal that a cell is abnormal or malignant (cancerous).","The most effective treatment is surgery to remove the entire tumor. Chemotherapy following surgery can help destroy remaining cancer cells. Usually, though, surgery isn’t an option because the cancer’s already spread by the time people receive a diagnosis. You may receive radiation therapy if a tumor causes problems like pain, bleeding or trouble breathing."
"Adenovirus","Cough.
Fever.
Runny nose.
Sore throat (pharyngitis).
Pink eye (conjunctivitis).
Ear infection (otitis media).
Swollen lymph nodes.
Chest cold (bronchitis).
Pneumonia.","If you have a mild infection, you probably don’t need to go to your healthcare provider. If you have severe symptoms, see your healthcare provider. They may order laboratory tests to confirm an adenovirus diagnosis. They may swab your nose or throat to collect a sample of your mucus. If your community is experiencing an outbreak, they may order lab tests as well. But lab tests for adenoviruses aren’t routine.","There aren’t any specific treatments for adenovirus infections. Most infections are mild and require only symptom relief. You can relieve most symptoms with over-the-counter fever reducers and pain relievers. In addition, make sure to drink plenty of water and get plenty of rest."
"Vitamin K Deficiency","Sleepiness.
Vomiting.
Seizures.
Bruises, especially on the head.
Petechiae (little red spots).
Nose bleeds.
Jaundice.
Pale skin.
Stool that’s bloody, dark and sticky.","A healthcare provider will diagnose vitamin K deficiency by learning more about your baby’s symptoms, medical and birth history and testing their blood.","Treatment for vitamin K deficiency in infants is an injection of phytonadione (vitamin K). A healthcare provider will give your newborn this shot into the muscle on their thigh."
"Pouchitis","Altered bowel habits: Inflammation in your pouch may make it hard to hold your poop, while swelling may make it hard to release it. This can affect your long-term bowel habits.
Reduced quality of life: Persistent difficulties going to the bathroom are hard to live with. They can cause physical and emotional stress and prevent you from enjoying a healthy social life.
Pouch stricture: Chronic inflammation can lead to scarring in your pouch. Scarring can cause the opening to narrow. It can also reduce blood flow to your pouch, which interferes with healing.
Erosion: Prolonged inflammation can cause erosion of the lining in your pouch, leading to ulcers, which may bleed. Some pathogenic bacteria may also actively erode your gut barrier.
Malabsorption and malnutrition: Damage to the lining in your pouch can interfere with its ability to absorb nutrients from the food inside (malabsorption), leading to malnutrition.
Pouch failure: Persistent difficulties with your pouch ultimately may make it unusable. You may have to have another operation to remove the pouch and redirect your bowel to an ileostomy.","Contrast pouchography (pouchogram). This is a type of X-ray that involves injecting a contrast solution into your pouch to make it stand out. It’s the ileal pouch version of a barium enema.
CT scan.
MRI.","Mesalamine enemas: Mesalamine, also known as 5-aminosalicylic acid (5-ASA), is a first-line medication for ulcerative colitis. It comes as an enema that you can insert into your pouch.
Bismuth enemas: Bismuth subsalicylate, the active ingredient in Pepto Bismol®, also comes as a foam enema (bismuth carbomer) that may help relieve your symptoms.
Corticosteroids: Corticosteroids are anti-inflammatory drugs to treat chronic inflammation.
Immunosuppressants: These drugs turn down the volume on your immune system response. Healthcare providers prescribe them when your immune system causes chronic inflammation.
Monoclonal antibodies (biologics): Monoclonal antibodies are human-made proteins that act like human antibodies, boosting your natural immune response to infections.
Small molecules: These are newer medications that work similarly to monoclonal antibodies but are synthetic.
Fecal microbiota transplant: Fecal transplant is U.S. Food and Drug (FDA)-approved to help treat antibiotic-resistant C. diff infection. But even when C. diff isn’t involved, fecal transplant may be helpful in treating antibiotic-resistant pouchitis as an off-label use. It helps to restore a healthy gut microbiome."
"Lymphogranuloma Venereum (LGV)","Swollen, tender lymph nodes in your groin (buboes), especially in men.
Swollen, painful lymph nodes in your pelvis and near your rectum, especially in women.","Blood test, which looks for antibodies against chlamydia trachomatis.
Nucleic acid amplification test (NAAT), which looks for chlamydia trachomatis in a sample taken from your groin, rectum or lymph node.","Providers treat LGV with the antibiotic doxycycline. They usually recommend 100 milligrams of doxycycline twice a day for 21 days. Providers may prescribe erythromycin or azithromycin as alternative treatments."
"Cholestasis","Chronic hepatitis B.
Chronic hepatitis C.
Autoimmune hepatitis.
Alcohol-induced hepatitis.
Nonalcoholic steatohepatitis.
Primary biliary cholangitis.
Primary sclerosing cholangitis.
Progressive familiar intrahepatic cholestasis.","Blood tests","Nutrition. Dietary changes and supplements can help compensate for malabsorption and vitamin deficiencies.
Ursodeoxycholic acid. This medication, which is usually used to dissolve gallstones, can sometimes help cholestasis by increasing bile production and mediating the effects of extra bile salts in your blood.
Naltrexone. This opioid antagonist is sometimes prescribed to treat severe pruritus. It works by blocking the pathways to the nerves that are irritated by bile acids in your blood. Pruritus isn’t a histamine-related itch, so typical itching relief medications (antihistamines) don’t help.
Cholestyramine. This cholesterol medication can help bind cholesterol to bile salts in your intestines so that more comes out in your poop and less is reabsorbed into your blood. It may help with hyperlipidemia and with pruritus."
"Hemarthrosis (Joint Bleeding)","Swelling and inflammation around one of your joints.
Pain.
Trouble moving.
Bruising or discoloration.
A feeling of warmth around a joint.","X-rays.
MRI (magnetic resonance imaging).
CT (computed tomography) scan.
Ultrasound.","Rest: Avoid putting any weight on your affected joint.
Ice: Don’t apply ice directly to your joint. Instead, apply cold packs wrapped in a towel for no more than 20 minutes at a time, several times a day.
Compression: You can wrap an elastic bandage around your joint. Make sure the bandage isn’t wrapped too tightly. Make sure the bandage doesn’t hurt.
Elevation: Rest with your affected joint higher than the level of your heart."
"Eosinophilia-Myalgia Syndrome","Fatigue.
Fever.
Swelling of your arms and legs (edema).
Numbness in your hands and feet.
Difficulty remembering or trouble concentrating.
Mood or behavior changes.
Nausea or vomiting.
Diarrhea.","A high eosinophil count from a small sample of your blood.
Muscle pain.","Muscle relaxants.
Pain relievers (analgesics).
Diuretics.
Corticosteroids."
"SLAP Tear","Chronic injury. SLAP tears can happen over time in people who play sports or do exercise that requires lots of overhead motion. Playing baseball or softball, swimming or lifting weights are common causes for SLAP tears. Chronic injury is the most common cause of a SLAP tear.
Acute injury. SLAP tears can happen if you try to block a fall with your outstretched arm or you use abrupt jerking movements to lift heavy objects.
Aging. SLAP tears can simply happen as your labrum wears out over time. This tear is usually seen in people age 40 and older.","Physical examination. Your doctor will check your arm and shoulder range of motion and strength.
Magnetic resonance imaging (MRI) or MRI arthrogram.","Rest.
Anti-inflammatory drugs.
Cortisone shots.
Physical therapy.
Debridement.
Arthroscopic labral surgery to repair your labrum.
Bicep tenodesis."
"Hypokalemia","Eating disorders, such as bulimia nervosa.
Excessive sweating (hyperhidrosis).
Alcohol use disorder.
Water pills (diuretics). Diuretics can cause too much potassium to be expelled through your pee (urine).
Other medications such as insulin, certain antibiotics and corticosteroids.
Adrenal disorders, such as primary aldosteronism and Cushing’s syndrome.
Chronic kidney disease.
Low magnesium levels (hypomagnesemia).
Certain kidney conditions, such as Bartter’s syndrome and Gitelman syndrome. Both are rare genetic kidney disorders that cause imbalances in your body.
Other conditions such as Liddle syndrome, a rare disorder that causes increased blood pressure.
Rarely, not getting enough potassium due to a poor diet.","Your healthcare provider will check your potassium level through a blood test. The normal potassium level for an adult ranges from 3.5 to 5.2 mEq/L (3.5 to 5.2 mmol/L). Potassium levels between 3 and 3.5 mEq/L (3 to 3.5 mmol/L) are considered mild hypokalemia. Anything lower than 3 mEq/L (3 mmol/L) is considered severe hypokalemia.","Your potassium level is extremely low.
Hypokalemia is causing abnormal heart rhythms.
Supplements taken by mouth aren’t working.
You’re losing more potassium than can be replaced with supplements taken by mouth."
"Hypoglycemia (Low Blood Sugar)","Shaking or trembling.
Weakness.
Sweating and chills.
Extreme hunger (polyphagia).
Faster heart rate.
Dizziness or lightheadedness.
Confusion or trouble concentrating.
Anxiety or irritability.
Color draining from your skin (pallor).
Tingling or numbness in your lips, tongue or cheeks.","The only way to know if you have hypoglycemia is to check your blood sugar with a blood glucose meter (glucometer). Most of these devices use a tiny blood sample from a finger prick with a lancet (small needle).","Eat or drink 15 grams of fast-acting carbs to raise your blood sugar.
After 15 minutes, check your blood sugar.
If it’s still below 70 mg/dL, have another 15 grams of fast-acting carbs.
Repeat until your blood sugar is at least 70 mg/dL."
"Listeriosis","Fever.
Chills.
Headache.
Upset stomach.
Diarrhea.
Nausea and vomiting.
Muscle aches.
Confusion.
Loss of balance.
Convulsions (muscle contractions that you can’t control).","Blood.
Cerebrospinal fluid (a clear fluid in your brain and spinal cord).
Meconium (your baby’s first poop; it’s dark green and thicker and stickier than normal poop).
Vomit.
Food.
Animal feed.","Allergic reactions. Allergic reactions may range from mild rashes and itching to skin blisters, swelling in your face and throat and difficulty breathing. Talk to your healthcare provider about any past drug reactions or allergies.
Clostridioides difficile. Clostridioides difficile (C. difficile or C. diff) is a bacteria that causes diarrhea.
Antibiotic resistance. Antibiotic resistance occurs when bacteria change and get stronger so that antibiotic medicines can’t kill them or stop their growth. Bacterial infections then become difficult to treat with medications."
"Mucosal Melanoma","A lump on your tongue that doesn’t go away or is getting larger.
A sore in your mouth that doesn’t heal.
Mouth pain.
Bleeding in your mouth.
Dentures that don’t fit well.","Providers may use different imaging tests, including computed tomography (CT) scans and magnetic resonance imaging (MRI) scans. They may do biopsies to obtain cells or tissue for medical pathologists to examine. Providers may also do genetic tests to detect any genetic mutations or changes.","Surgery to remove tumors and surrounding tissue. Surgery often depends on tumor location; some tumors are very challenging to remove with surgery.
Radiation therapy as adjuvant therapy after surgery."
"Monoclonal Gammopathy of Undetermined Significance (MGUS)","Tingling.
Weakness.
Numbness.","The amount of M protein in your blood.
The type of M protein in your blood.
The amount of free light chains in your blood. Free light chains (FLC) are proteins made by plasma cells. FLC tests detect abnormal concentrations of free light chains.","Most people with this condition don’t need treatment. While MGUS rarely becomes cancerous, your provider will monitor M protein levels in your blood and urine (pee) every six to 12 months for signs of cancer. Sometimes, people with this condition have an increased risk of bone loss or fracture. If you’re at risk, your provider may recommend medications and other steps to improve bone density."
"POEMS Syndrome","Weakness.
Tingling.
Numbness.
Prickling.
Burning.
A pins-and-needles sensation.","Blood and urine tests: Your provider may test a blood or urine sample to see if you have high levels of M-protein or VEGF. They may perform a blood test to see if you have an abnormal amount of blood cells or abnormal-looking blood cells that may be signs of POEMS.
Imaging: X-rays and CT scans allow your provider to see if your bones have hardened or thickened. These changes can occur if you have too much M-protein.
Bone marrow biopsy: A bone marrow biopsy can reveal if you have abnormal-looking plasma cells or a high number of plasma cells.
Electromyogram (EMG): An EMG is a test that measures nerve function. It can help your provider diagnose polyneuropathy.","Radiation therapy: Radiation directs high radiation levels at the abnormal plasma cells, killing them.
Chemotherapy: Anticancer drugs, like chemotherapy, destroy abnormal plasma cells or slow their growth. Chemo treatment for POEMS is similar to cancer treatments for multiple myeloma. These treatments are highly effective and often don’t cause serious side effects.
Autologous stem cell transplant: This procedure replaces your abnormal plasma cells with healthy stem cells. Stem cells develop into mature cells, like plasma cells. During an autologous stem cell transplant, your provider removes healthy stem cells from your body. Then, they destroy the abnormal plasma cells with chemo or radiation. After treatment, your provider places the stem cells back into your body so that they can mature into healthy plasma cells.
Physical therapy: This treatment may help you with mobility issues you may be experiencing because of polyneuropathy."
"Monoclonal Gammopathy of Renal Significance (MGRS)","Tiredness (fatigue).
Swelling in your lower legs, ankles or feet. Swelling sometimes also affects your belly (abdomen), arms or face.
Nephrotic syndrome.
Foamy or frothy pee (urine). This can be a sign of proteinuria.
Needing to pee frequently (frequent urination).
Blood in your pee (hematuria) or pink-tinged pee.
Nausea and vomiting.
POEMS syndrome.
Numbness, tingling or weakness (signs of neuropathy).
Discolored (light or dark) patches of skin.
Shortness of breath (dyspnea).","A provider diagnoses MGRS with a kidney biopsy. They’ll take a sample of tissue from your kidney and test it for M proteins. They might also test samples of your blood, pee (urine) or bone marrow.","Monoclonal antibodies (rituximab, daratumumab).
Proteasome inhibitors (bortezomib, carfilzomib and ixazomib).
Immunomodulatory drugs (thalidomide, lenalidomide, pomalidomide).
Alkylating agents (cyclophosphamide, bendamustine, melphalan).
Corticosteroids (prednisone, dexamethasone).
Autologous stem cell transplant."
"Multiple Myeloma","Weakness in your arms and legs and/or a sensation of numbness in your arms and legs. Multiple myeloma can affect the bones in your spine, causing them to collapse and press on your spinal cord.
Having fatigue — feeling so tired you can’t manage daily activities — and feeling weak. These are signs of anemia.
Nausea and vomiting. This may be a sign of hypercalcemia.
Not having an appetite and/or feeling thirstier than usual. These may be signs of hypercalcemia.
Unexplained weight loss.
Unexplained fever. This may be a symptom of a bacterial infection.
Bruising or bleeding more easily. This may be a sign abnormal plasma cells prevent your body from producing enough platelets. Platelets help your blood to clot.
Feeling confused or “foggy.”","Complete blood count (CBC): This test measures your red and white blood cell numbers, the amount of hemoglobin in your red blood cells and your red blood cell concentration level.
Blood chemistry test: This test shows your creatine levels (how well your kidneys work), albumin levels (this is a protein), calcium levels and lactic dehydrogenase levels (LDH). LDH is a tumor marker. A tumor marker is a substance in cancerous cells or healthy cells responding to cancer.
Quantitative immunoglobulin test: This blood test measures the levels of certain antibodies in your blood.
Electrophoresis: This test looks for M proteins in your blood.
Urine tests: Healthcare providers may ask you to collect your urine at home over a 24-hour period so they can test for Bence Jones protein, another sign of multiple myeloma.
X-rays: Healthcare providers use X-rays to look for bones damaged by multiple myeloma.
Computed tomography (CT) scan: This is another way to look for bone damage.
Magnetic resonance imaging (MRI): This test uses radio waves and strong magnets to create detailed images of your bones and spine. Healthcare providers may use this test to look for plasmacytomas. These are single groups of abnormal plasma cells.
Positron emission tomography (PET) scan: This is another test for plasmacytomas.
Bone marrow biopsies: Healthcare providers may do bone marrow biopsies to analyze the percentage of normal and abnormal plasma cells in your bone marrow. They may also test your bone marrow sample for changes in your DNA that may drive cancer growth.","Pain medications:People often have significant bone pain.
Antibiotics:A weakened immune system can lead to more infections. Your doctor may prescribe antibiotics to clear up these infections.
Steroids: High doses of steroids can kill cancer cells and reduce inflammation.
Chemotherapy: Healthcare providers use chemotherapy to reduce the number of abnormal plasma cells.
Immunotherapy:This treatment stimulates your immune system so it develops more cancer-fighting cells.
Radiation therapy: This treatment kills cancer cells and reduces bone tumors.
Stem cell transplants: Stem cells are specialized cells in your bone marrow or blood that can help produce healthy new plasma cells. Healthcare providers typically recommend autologous stem cell transplants. This treatment replaces damaged or unhealthy stem cells with healthy stem cells from your body. Rarely, you may receive healthy plasma stem cells from a donor. This is an allogenic stem cell transplant."
"Gonorrhea","Unusual vaginal discharge (white or yellow).
Pain in your lower abdomen or pelvis (belly).
Pain during sexual intercourse (dyspareunia).
Pain or burning when you pee (dysuria).
Bleeding between periods.","Perform a pelvic exam, taking a fluid sample from your cervix for testing.
Take a sample of fluid from your penis for testing.
Swab your throat or rectum to collect fluid for testing.
Take a urine sample for testing.","500 milligrams of Ceftriaxone if you weigh less than 150 kilograms (about 330 pounds).
1 gram of Ceftriaxone if you weigh more than 150 kilograms."
"Canavan Disease","Abnormal muscle tone, such as weak or stiff muscles.
Abnormally large head (macrocephaly) that’s hard to control.
Developmental delays, such as not being able to roll, sit, crawl, walk or talk.
Difficulty eating or swallowing.
Lack of motor skills to control muscle movement, sometimes described as “floppiness.”
Quiet or unresponsive behavior, showing little interest or emotion.","Blood or urine tests that test for levels of NAA or ASPA or tests that look for the genetic mutation.
Lab tests of specific skin cells (called cultured fibroblasts) to look for a lack of ASPA.","Feeding tubes to deliver nutrition and fluids.
Medications to control seizures (anticonvulsants).
Physical therapy to improve posture and communication."
"Urea Cycle Disorder","Lethargy or feeling tired.
Fussiness in babies.
Nausea or vomiting.
Can’t eat or feed.
Breathing too fast or too slow.
Confusion.","Amino acid profile or analysis: Your provider will test a small sample of your blood or urine to measure the amino acids that your body processes (metabolizes).
Liver biopsy: Your provider will remove a very small piece of your liver to examine it under a microscope to look for enzymes associated with the condition.
Genetic test: Your provider will examine a small sample of your blood to look for genetic changes that cause your symptoms.","Eating a diet low in protein.
Dialysis to clean your blood of toxins (hemodialysis).
Taking medicine that includes sodium phenylacetate and sodium benzoate (Ammonul ®) to remove ammonia from your blood.
Taking amino acid supplements (arginine or citrulline) to encourage your body to complete the urea cycle."
"Tongue-Tie (Ankyloglossia)","Difficulty latching when breastfeeding.
Breastfeeding for extended periods of time.
Constant hunger.
Trouble gaining weight.
A clicking sound while your child is feeding.","In infants, ankyloglossia is often diagnosed by a pediatrician or a lactation consultant.","Bleeding.
Infection.
Scarring.
Injury to the saliva ducts in your mouth."
